arquivo,montadora,modelo,arquivo_original_commons,autor,licenca,pagina_fonte
chevrolet_tracker_04.jpg,Chevrolet,Tracker,Chevrolet Tracker Turbo LS 2023.jpg,RL GNZLZ,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Chevrolet_Tracker_Turbo_LS_2023.jpg
hyundai_creta.jpg,Hyundai,Creta,2022 Hyundai Creta (SU2) 1.5AT grey front view in Brunei.jpg,AIMHO'S REBELLION 8490s,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:2022_Hyundai_Creta_(SU2)_1.5AT_grey_front_view_in_Brunei.jpg
hyundai_creta_02.jpg,Hyundai,Creta,"2021 Hyundai Creta 1.5 Trend (SU2id, Indonesia) front view 02.jpg",Andra Febrian,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:2021_Hyundai_Creta_1.5_Trend_(SU2id,_Indonesia)_front_view_02.jpg"
hyundai_creta_03.jpg,Hyundai,Creta,"2021 Hyundai Creta 1.5 Prime (SU2id, Indonesia) front view 01.jpg",Andra Febrian,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:2021_Hyundai_Creta_1.5_Prime_(SU2id,_Indonesia)_front_view_01.jpg"
hyundai_creta_04.jpg,Hyundai,Creta,2021 Hyundai Creta 2.0 HTRAC Prestige (Russia; SU2r) front view.jpg,Авто Плюс Новости,CC BY 3.0,https://commons.wikimedia.org/wiki/File:2021_Hyundai_Creta_2.0_HTRAC_Prestige_(Russia;_SU2r)_front_view.jpg
hyundai_hb20.jpg,Hyundai,HB20,2023 Hyundai HB20 1.0 T-GDi Platinum Plus (Brazil) front view 02.png,Autosdeprimera,CC BY 3.0,https://commons.wikimedia.org/wiki/File:2023_Hyundai_HB20_1.0_T-GDi_Platinum_Plus_(Brazil)_front_view_02.png
hyundai_hb20_02.jpg,Hyundai,HB20,2023 Hyundai HB20 1.0 T-GDi Platinum Plus (Brazil) front view.png,Autosdeprimera,CC BY 3.0,https://commons.wikimedia.org/wiki/File:2023_Hyundai_HB20_1.0_T-GDi_Platinum_Plus_(Brazil)_front_view.png
toyota_corolla.jpg,Toyota,Corolla,"2022–2024 Toyota Corolla G in Super White II, front left.jpg",Mr.choppers,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:2022%E2%80%932024_Toyota_Corolla_G_in_Super_White_II,_front_left.jpg"
toyota_corolla_02.jpg,Toyota,Corolla,2022 Toyota Corolla Altis 1.8G Prestige front.jpg,LuvsMG481,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:2022_Toyota_Corolla_Altis_1.8G_Prestige_front.jpg
toyota_corolla_03.jpg,Toyota,Corolla,2023 Toyota Corolla Altis 1.6 G.jpg,Chanokchon,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:2023_Toyota_Corolla_Altis_1.6_G.jpg
toyota_corolla_04.jpg,Toyota,Corolla,Toyota Corolla Altis TNGA (E210) in Joo Chiat - Singapore.jpg,Firzafp,CC BY 4.0,https://commons.wikimedia.org/wiki/File:Toyota_Corolla_Altis_TNGA_(E210)_in_Joo_Chiat_-_Singapore.jpg
toyota_hilux.jpg,Toyota,Hilux,"2023 Toyota Hilux 2.4 E 4x2 GMA Integrated News crewcab, front right.jpg",Ethan Llamas,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:2023_Toyota_Hilux_2.4_E_4x2_GMA_Integrated_News_crewcab,_front_right.jpg"
toyota_hilux_02.jpg,Toyota,Hilux,"2015 Toyota Hilux 2.4 E 4x2 in Super White II, front right, 06-01-2024.jpg",Ethan Llamas,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:2015_Toyota_Hilux_2.4_E_4x2_in_Super_White_II,_front_right,_06-01-2024.jpg"
toyota_hilux_03.jpg,Toyota,Hilux,2024 Toyota HiLux SR 4X4 mild hybrid front (1).jpg,LuvsMG481,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:2024_Toyota_HiLux_SR_4X4_mild_hybrid_front_(1).jpg
toyota_hilux_04.jpg,Toyota,Hilux,"2024 Toyota Hilux 2.4 G 4x2 in Attitude Black Mica, front right.jpg",Ethan Llamas,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:2024_Toyota_Hilux_2.4_G_4x2_in_Attitude_Black_Mica,_front_right.jpg"
volkswagen_polo.jpg,Volkswagen,Polo,Volkswagen Polo VI GTI (2021) IMG 3182.jpg,Alexander Migl,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Volkswagen_Polo_VI_GTI_(2021)_IMG_3182.jpg
volkswagen_polo_02.jpg,Volkswagen,Polo,Volkswagen Polo VI GTI (2021) 1X7A0343.jpg,Alexander Migl,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Volkswagen_Polo_VI_GTI_(2021)_1X7A0343.jpg
volkswagen_polo_03.jpg,Volkswagen,Polo,Volkswagen Polo VI (2021) IMG 5319.jpg,Alexander Migl,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Volkswagen_Polo_VI_(2021)_IMG_5319.jpg
volkswagen_polo_04.jpg,Volkswagen,Polo,Volkswagen Polo VI R-Line (2021) Auto Zuerich 2021 IMG 0217.jpg,Alexander Migl,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Volkswagen_Polo_VI_R-Line_(2021)_Auto_Zuerich_2021_IMG_0217.jpg
volkswagen_t_cross.jpg,Volkswagen,T-Cross,Volkswagen T-CROSS TSI R-Line (3BA-C1DKR) at night front.jpg,Tokumeigakarinoaoshima,CC0,https://commons.wikimedia.org/wiki/File:Volkswagen_T-CROSS_TSI_R-Line_(3BA-C1DKR)_at_night_front.jpg
volkswagen_t_cross_02.jpg,Volkswagen,T-Cross,Volkswagen T-CROSS TSI R-Line (3BA-C1DKR) front.jpg,Tokumeigakarinoaoshima,CC0,https://commons.wikimedia.org/wiki/File:Volkswagen_T-CROSS_TSI_R-Line_(3BA-C1DKR)_front.jpg
volkswagen_t_cross_03.jpg,Volkswagen,T-Cross,Volkswagen T-Cross TSI R-Line (3BA-C1DKR) front.jpg,Tokumeigakarinoaoshima,CC0,https://commons.wikimedia.org/wiki/File:Volkswagen_T-Cross_TSI_R-Line_(3BA-C1DKR)_front.jpg
volkswagen_t_cross_04.jpg,Volkswagen,T-Cross,2019 SAIC-Volkswagen T-Cross (front).jpg,User3204,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:2019_SAIC-Volkswagen_T-Cross_(front).jpg
volkswagen_virtus.jpg,Volkswagen,Virtus,Volkswagen Virtus 1.6 MSi Trendline 2023 (54992007987).jpg,RL GNZLZ,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Volkswagen_Virtus_1.6_MSi_Trendline_2023_(54992007987).jpg
volkswagen_virtus_02.jpg,Volkswagen,Virtus,2024 Volkswagen Virtus 1.6 MSi Trendline (facelift).jpg,Just a Man,CC BY 4.0,https://commons.wikimedia.org/wiki/File:2024_Volkswagen_Virtus_1.6_MSi_Trendline_(facelift).jpg
volkswagen_virtus_03.jpg,Volkswagen,Virtus,Volkswagen Virtus Trendline 2023 (54196184648).jpg,RL GNZLZ from Chile,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Volkswagen_Virtus_Trendline_2023_(54196184648).jpg
volkswagen_virtus_04.jpg,Volkswagen,Virtus,2023 Volkswagen Virtus Topline front 20230520.jpg,Dairokkan9,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:2023_Volkswagen_Virtus_Topline_front_20230520.jpg
